fam_cluster_id	feature_source
ripps7574	random_forest
nrps4051	enrichment
nrps9204	random_forest
others3835	random_forest
nrps2567	random_forest
terpene7676	random_forest
nrps4050	enrichment
nrps8190	random_forest
ripps3390	both
nrps2597	random_forest
ripps2539	both
others7673	random_forest
nrps4071	random_forest
nrps2936	random_forest
others2545	both
nrps2969	random_forest
nrps10526	random_forest
nrps8318	random_forest
others9203	random_forest
ripps2548	random_forest
pksother4889	enrichment
nrps9044	random_forest
ripps3967	random_forest
others4222	random_forest
nrps6166	random_forest
nrps4047	random_forest
ripps10679	random_forest
ripps3960	random_forest
ripps4045	enrichment
nrps2550	enrichment
nrps2943	both
nrps4795	enrichment
